"Feature";"Tot_prop";"Sum"
"../data/60/index_koivu_kp_1_60.img";"0.72";"1699535.3750"
"../data/60/index_koivu_kp_2_60.img";"0.33";"16613440.0000"
"../data/60/index_koivu_kp_3_60.img";"0.25";"20594900.0000"
"../data/60/index_koivu_kp_4_60.img";"0.36";"4832553.0000"
"../data/60/index_koivu_kp_5_60.img";"0.35";"567490.5625"
"../data/60/index_kuusi_kp_1_60.img";"0.62";"1429751.8750"
"../data/60/index_kuusi_kp_2_60.img";"0.14";"24550084.0000"
"../data/60/index_kuusi_kp_3_60.img";"0.13";"41334056.0000"
"../data/60/index_kuusi_kp_4_60.img";"0.19";"6214009.0000"
"../data/60/index_kuusi_kp_5_60.img";"0.20";"801329.5000"
"../data/60/index_mlp_kp_1_60.img";"0.78";"2116800.7500"
"../data/60/index_mlp_kp_2_60.img";"0.36";"10024014.0000"
"../data/60/index_mlp_kp_3_60.img";"0.30";"12068704.0000"
"../data/60/index_mlp_kp_4_60.img";"0.42";"3100311.0000"
"../data/60/index_mlp_kp_5_60.img";"0.37";"390385.2500"
"../data/60/index_manty_kp_1_60.img";"0.65";"970948.6875"
"../data/60/index_manty_kp_2_60.img";"0.21";"16225793.0000"
"../data/60/index_manty_kp_3_60.img";"0.21";"60378596.0000"
"../data/60/index_manty_kp_4_60.img";"0.32";"40810180.0000"
"../data/60/index_manty_kp_5_60.img";"0.29";"3462848.0000"
"../data/60/index_koivu_kp_1_60.img";"0.80";"1879216.5000"
"../data/60/index_koivu_kp_2_60.img";"0.23";"11279713.0000"
"../data/60/index_koivu_kp_3_60.img";"0.15";"11986095.0000"
"../data/60/index_koivu_kp_4_60.img";"0.17";"2288326.7500"
"../data/60/index_koivu_kp_5_60.img";"0.52";"831037.3125"
"../data/60/index_kuusi_kp_1_60.img";"0.61";"1405213.3750"
"../data/60/index_kuusi_kp_2_60.img";"0.13";"22908534.0000"
"../data/60/index_kuusi_kp_3_60.img";"0.11";"35416132.0000"
"../data/60/index_kuusi_kp_4_60.img";"0.18";"5991829.0000"
"../data/60/index_kuusi_kp_5_60.img";"0.48";"1880828.5000"
"../data/60/index_mlp_kp_1_60.img";"0.80";"2173530.2500"
"../data/60/index_mlp_kp_2_60.img";"0.25";"6892834.5000"
"../data/60/index_mlp_kp_3_60.img";"0.14";"5461854.5000"
"../data/60/index_mlp_kp_4_60.img";"0.36";"2644459.2500"
"../data/60/index_mlp_kp_5_60.img";"0.58";"608623.6250"
"../data/60/index_manty_kp_1_60.img";"0.67";"999806.5000"
"../data/60/index_manty_kp_2_60.img";"0.15";"11932959.0000"
"../data/60/index_manty_kp_3_60.img";"0.11";"30178668.0000"
"../data/60/index_manty_kp_4_60.img";"0.18";"23310410.0000"
"../data/60/index_manty_kp_5_60.img";"0.52";"6248698.5000"
"../data/60/index_koivu_kp_1_60.img";"0.44";"1037197.9375"
"../data/60/index_koivu_kp_2_60.img";"0.08";"4172124.0000"
"../data/60/index_koivu_kp_3_60.img";"0.06";"5280921.0000"
"../data/60/index_koivu_kp_4_60.img";"0.11";"1472833.7500"
"../data/60/index_koivu_kp_5_60.img";"0.14";"232255.3594"
"../data/60/index_kuusi_kp_1_60.img";"0.34";"784925.8125"
"../data/60/index_kuusi_kp_2_60.img";"0.03";"5717415.0000"
"../data/60/index_kuusi_kp_3_60.img";"0.04";"12112282.0000"
"../data/60/index_kuusi_kp_4_60.img";"0.06";"1880587.5000"
"../data/60/index_kuusi_kp_5_60.img";"0.11";"432598.2812"
"../data/60/index_mlp_kp_1_60.img";"0.49";"1320250.3750"
"../data/60/index_mlp_kp_2_60.img";"0.08";"2171774.2500"
"../data/60/index_mlp_kp_3_60.img";"0.06";"2399658.2500"
"../data/60/index_mlp_kp_4_60.img";"0.11";"800226.6250"
"../data/60/index_mlp_kp_5_60.img";"0.14";"148161.2656"
"../data/60/index_manty_kp_1_60.img";"0.37";"558190.8750"
"../data/60/index_manty_kp_2_60.img";"0.04";"3330829.7500"
"../data/60/index_manty_kp_3_60.img";"0.05";"13749831.0000"
"../data/60/index_manty_kp_4_60.img";"0.11";"14151069.0000"
"../data/60/index_manty_kp_5_60.img";"0.16";"1899141.2500"
"../data/60/index_koivu_kp_1_60.img";"0.74";"1728653.0000"
"../data/60/index_koivu_kp_2_60.img";"0.22";"11135661.0000"
"../data/60/index_koivu_kp_3_60.img";"0.13";"10486655.0000"
"../data/60/index_koivu_kp_4_60.img";"0.15";"2055061.5000"
