"Feature";"Tot_prop";"Sum"
"../data/60/index_koivu_kp_1_60.img";"0.44";"1037197.9375"
"../data/60/index_koivu_kp_2_60.img";"0.08";"4172124.0000"
"../data/60/index_koivu_kp_3_60.img";"0.06";"5280921.0000"
"../data/60/index_koivu_kp_4_60.img";"0.11";"1472833.7500"
"../data/60/index_koivu_kp_5_60.img";"0.14";"232255.3594"
"../data/60/index_kuusi_kp_1_60.img";"0.34";"784925.8125"
"../data/60/index_kuusi_kp_2_60.img";"0.03";"5717415.0000"
"../data/60/index_kuusi_kp_3_60.img";"0.04";"12112282.0000"
"../data/60/index_kuusi_kp_4_60.img";"0.06";"1880587.5000"
"../data/60/index_kuusi_kp_5_60.img";"0.11";"432598.2812"
"../data/60/index_mlp_kp_1_60.img";"0.49";"1320250.3750"
"../data/60/index_mlp_kp_2_60.img";"0.08";"2171774.2500"
"../data/60/index_mlp_kp_3_60.img";"0.06";"2399658.2500"
"../data/60/index_mlp_kp_4_60.img";"0.11";"800226.6250"
"../data/60/index_mlp_kp_5_60.img";"0.14";"148161.2656"
"../data/60/index_manty_kp_1_60.img";"0.37";"558190.8750"
"../data/60/index_manty_kp_2_60.img";"0.04";"3330829.7500"
"../data/60/index_manty_kp_3_60.img";"0.05";"13749831.0000"
"../data/60/index_manty_kp_4_60.img";"0.11";"14151069.0000"
"../data/60/index_manty_kp_5_60.img";"0.16";"1899141.2500"
